OLMTA_V1_CONFIG {"seed": 17, "budget": 50000, "init": 96, "batch": 16, "pool": 60000, "ensemble": 3, "opt_gpu": 0, "eval_gpus": [0, 1], "eval_workers_per_gpu": 4, "initial_network": "immutable original OPTv1"}
/var/lib/cots-lamcts/jobs/olmta-v1-meta50k-run002b-20260915/src/validation/opt10_pretrain_completion_run.py:42: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.enc=nn.TransformerEncoder(el,layers,norm=nn.LayerNorm(d));self.recon=nn.Linear(d,B.FIELDS)
Q round15-s17 12 (38, 21, 20, 6) 28.033884261783587 gpu 0
Q round15-s17 13 (38, 45, 20, 6) 30.93420132692301 gpu 1
Q round15-s17 14 (0, 48, 61, 6) 123.93921177923039 gpu 0
Q round15-s17 15 (17, 21, 32, 37) 75.23173333322936 gpu 1
ROUND 15 n 336 bestJ 22.832453007124 best (38, 45, 4, 70) eligible 15 update 0 updates_total 2
Q round16-s17 0 (38, 5, 20, 46) 27.56015920224439 gpu 0
Q round16-s17 1 (63, 5, 4, 46) 26.35404197847865 gpu 1
Q round16-s17 2 (38, 5, 20, 6) 28.77728914995629 gpu 0
Q round16-s17 3 (62, 5, 44, 46) 30.012479140234127 gpu 1
Q round16-s17 4 (62, 5, 44, 6) 31.457652401694073 gpu 0
Q round16-s17 5 (63, 5, 4, 6) 28.521805795750097 gpu 1
Q round16-s17 6 (62, 5, 20, 46) 28.190470870293716 gpu 0
Q round16-s17 7 (62, 5, 20, 6) 30.619451556535594 gpu 1
Q round16-s17 8 (38, 21, 4, 30) 23.424489637152963 gpu 0
Q round16-s17 9 (57, 21, 4, 22) 29.276348260124912 gpu 1
Q round16-s17 10 (39, 5, 4, 14) 22.81402788373684 gpu 0
Q round16-s17 11 (57, 45, 4, 22) 26.6837660849945 gpu 1
Q round16-s17 12 (38, 45, 4, 30) 24.03536037804327 gpu 0
Q round16-s17 13 (38, 45, 20, 22) 29.71466331943412 gpu 1
Q round16-s17 14 (42, 58, 54, 33) 83.49869063000224 gpu 0
Q round16-s17 15 (11, 64, 65, 26) 52.02081337387438 gpu 1
ROUND 16 n 352 bestJ 22.81402788373684 best (39, 5, 4, 14) eligible 0 update 0 updates_total 2
Q round17-s17 0 (38, 13, 4, 46) 33.68055676205177 gpu 0
Q round17-s17 1 (38, 5, 20, 54) 24.357855276456217 gpu 1
Q round17-s17 2 (39, 21, 4, 22) 27.873890041807385 gpu 0
Q round17-s17 3 (62, 21, 4, 30) 24.704617775235427 gpu 1
Q round17-s17 4 (39, 45, 4, 22) 30.59564461800963 gpu 0
Q round17-s17 5 (63, 5, 4, 14) 24.422194690494816 gpu 1
Q round17-s17 6 (38, 5, 20, 14) 25.097924768025827 gpu 0
Q round17-s17 7 (38, 5, 44, 14) 24.87669717669404 gpu 1
Q round17-s17 8 (57, 5, 4, 54) 29.53303993446541 gpu 0
Q round17-s17 9 (38, 13, 4, 54) 32.00030716818427 gpu 1
Q round17-s17 10 (62, 45, 4, 30) 28.271153730746036 gpu 0
Q round17-s17 11 (38, 5, 20, 70) 24.151241900183674 gpu 1
Q round17-s17 12 (38, 13, 4, 6) 35.29164278506132 gpu 0
Q round17-s17 13 (62, 13, 4, 46) 35.294691876422974 gpu 1
Q round17-s17 14 (10, 34, 5, 14) 165.91229231312852 gpu 0
Q round17-s17 15 (42, 55, 33, 57) 41.68911003112473 gpu 1
ROUND 17 n 368 bestJ 22.81402788373684 best (39, 5, 4, 14) eligible 0 update 0 updates_total 2
Q round18-s17 0 (56, 5, 4, 6) 25.987240709634047 gpu 0
Q round18-s17 1 (65, 5, 4, 54) 26.020874526162522 gpu 1
Q round18-s17 2 (38, 13, 4, 70) 30.435350089702972 gpu 0
Q round18-s17 3 (38, 69, 4, 22) 32.25895549587968 gpu 1
Q round18-s17 4 (38, 13, 4, 14) 31.387350711200384 gpu 0
Q round18-s17 5 (57, 21, 4, 6) 27.67281887571202 gpu 1
Q round18-s17 6 (38, 21, 44, 6) 28.633954429294512 gpu 0
Q round18-s17 7 (62, 5, 44, 54) 26.607000734190233 gpu 1
Q round18-s17 8 (38, 5, 44, 70) 24.529134068952224 gpu 0
Q round18-s17 9 (62, 5, 20, 14) 25.49855408395261 gpu 1
Q round18-s17 10 (62, 13, 4, 54) 33.38745420322415 gpu 0
Q round18-s17 11 (57, 45, 4, 6) 27.186366080108783 gpu 1
Q round18-s17 12 (57, 21, 4, 46) 28.54063722857974 gpu 0
Q round18-s17 13 (38, 45, 44, 6) 30.78772871069673 gpu 1
Q round18-s17 14 (45, 50, 11, 9) 230.759991679429 gpu 0
Q round18-s17 15 (71, 59, 56, 34) 48.770754501682966 gpu 1
ROUND 18 n 384 bestJ 22.81402788373684 best (39, 5, 4, 14) eligible 0 update 0 updates_total 2
Q round19-s17 0 (62, 5, 44, 14) 27.471674695007373 gpu 0
Q round19-s17 1 (65, 5, 4, 70) 26.860805000464723 gpu 1
Q round19-s17 2 (38, 5, 4, 41) 26.895532585899286 gpu 0
Q round19-s17 3 (65, 21, 4, 22) 25.291105729343855 gpu 1
Q round19-s17 4 (65, 45, 4, 22) 27.13623870955568 gpu 0
Q round19-s17 5 (9, 5, 4, 22) 25.81335482577372 gpu 1
Q round19-s17 6 (25, 5, 4, 22) 27.081458491671874 gpu 0
Q round19-s17 7 (49, 5, 4, 54) 27.35243878752233 gpu 1
Q round19-s17 8 (65, 5, 44, 22) 24.975984977564597 gpu 0
Q round19-s17 9 (65, 5, 20, 22) 24.510142366917968 gpu 1
Q round19-s17 10 (65, 5, 4, 38) 29.673599947304087 gpu 0
Q round19-s17 11 (65, 5, 4, 62) 28.592975611853536 gpu 1
Q round19-s17 12 (9, 5, 4, 54) 27.99437141187894 gpu 0
Q round19-s17 13 (9, 5, 4, 46) 27.07773360300943 gpu 1
Q round19-s17 14 (0, 12, 26, 56) 87.39338213457002 gpu 0
Q round19-s17 15 (48, 57, 70, 36) 74.77836964004202 gpu 1
ROUND 19 n 400 bestJ 22.81402788373684 best (39, 5, 4, 14) eligible 20 update 0 updates_total 2
Q round20-s17 0 (39, 21, 4, 46) 26.014066777707722 gpu 0
Q round20-s17 1 (57, 45, 4, 46) 26.810461916306572 gpu 1
Q round20-s17 2 (38, 21, 20, 46) 26.053131609490176 gpu 0
Q round20-s17 3 (57, 5, 4, 70) 28.89531951122935 gpu 1
Q round20-s17 4 (62, 5, 20, 70) 23.974883391803495 gpu 0
Q round20-s17 5 (32, 5, 4, 22) 26.277952289249978 gpu 1
Q round20-s17 6 (39, 45, 4, 46) 27.596526533616558 gpu 0
Q round20-s17 7 (57, 5, 4, 62) 39.64441659341477 gpu 1
Q round20-s17 8 (38, 53, 4, 22) 32.56284592662258 gpu 0
Q round20-s17 9 (63, 5, 4, 54) 24.686393632387293 gpu 1
Q round20-s17 10 (39, 21, 4, 6) 27.07953450847224 gpu 0
Q round20-s17 11 (38, 69, 4, 54) 30.37884618147002 gpu 1
Q round20-s17 12 (62, 21, 44, 46) 29.90156837256694 gpu 0
Q round20-s17 13 (38, 5, 44, 62) 25.241945522714033 gpu 1
Q round20-s17 14 (30, 15, 44, 64) 113.9719609818584 gpu 0
Q round20-s17 15 (17, 50, 27, 48) 82.64766736054754 gpu 1
ROUND 20 n 416 bestJ 22.81402788373684 best (39, 5, 4, 14) eligible 0 update 0 updates_total 2
Q round21-s17 0 (38, 21, 44, 46) 27.29463846435342 gpu 0
Q round21-s17 1 (56, 5, 4, 46) 25.28748734517107 gpu 1
Q round21-s17 2 (38, 45, 44, 46) 29.58400034181034 gpu 0
Q round21-s17 3 (38, 45, 20, 46) 28.9259763744282 gpu 1
Q round21-s17 4 (62, 21, 20, 6) 30.917181273930645 gpu 0
Q round21-s17 5 (62, 21, 20, 46) 28.01359149402031 gpu 1
Q round21-s17 6 (33, 21, 4, 22) 28.15311603379412 gpu 0
Q round21-s17 7 (62, 45, 44, 46) 31.567431782821195 gpu 1
Q round21-s17 8 (38, 69, 4, 46) 32.17276306492123 gpu 0
Q round21-s17 9 (63, 45, 4, 46) 29.676185303788863 gpu 1
Q round21-s17 10 (38, 5, 44, 38) 25.625190840844454 gpu 0
Q round21-s17 11 (62, 45, 20, 6) 32.628700015564156 gpu 1
Q round21-s17 12 (39, 5, 4, 70) 20.99546408313032 gpu 0
Q round21-s17 13 (62, 45, 20, 46) 30.583782696560505 gpu 1
Q round21-s17 14 (44, 31, 56, 20) 43.54386283005944 gpu 0
Q round21-s17 15 (35, 40, 31, 39) 69.3833371847713 gpu 1
ROUND 21 n 432 bestJ 20.99546408313032 best (39, 5, 4, 70) eligible 0 update 0 updates_total 2
Q round22-s17 0 (38, 69, 4, 70) 28.83679595117398 gpu 0
Q round22-s17 1 (39, 5, 4, 38) 23.855275650559378 gpu 1
Q round22-s17 2 (38, 13, 4, 62) 25.189824011654782 gpu 0
Q round22-s17 3 (38, 13, 4, 38) 25.781316348935608 gpu 1
Q round22-s17 4 (33, 45, 4, 22) 27.407911479635928 gpu 0
Q round22-s17 5 (62, 53, 4, 22) 33.986726829466726 gpu 1
Q round22-s17 6 (33, 5, 4, 14) 29.168664938898893 gpu 0
Q round22-s17 7 (62, 69, 4, 54) 31.677379361453774 gpu 1
Q round22-s17 8 (38, 53, 4, 54) 29.304715906453513 gpu 0
Q round22-s17 9 (38, 69, 4, 14) 29.72885989355164 gpu 1
Q round22-s17 10 (63, 5, 4, 62) 22.05503904506206 gpu 0
Q round22-s17 11 (62, 5, 20, 62) 25.295406506718216 gpu 1
Q round22-s17 12 (62, 5, 20, 38) 26.363600034920644 gpu 0
Q round22-s17 13 (63, 5, 4, 70) 22.913152574874477 gpu 1
Q round22-s17 14 (17, 9, 10, 13) 125.39262375991785 gpu 0
Q round22-s17 15 (45, 70, 71, 8) 78.84326241330261 gpu 1
ROUND 22 n 448 bestJ 20.99546408313032 best (39, 5, 4, 70) eligible 0 update 0 updates_total 2
Q round23-s17 0 (63, 21, 4, 6) 29.294446048978344 gpu 0
Q round23-s17 1 (63, 45, 4, 6) 31.442828326530528 gpu 1
Q round23-s17 2 (62, 5, 44, 62) 25.51880692521541 gpu 0
Q round23-s17 3 (62, 5, 4, 41) 25.990480529637125 gpu 1
Q round23-s17 4 (49, 5, 4, 70) 26.98283213778914 gpu 0
Q round23-s17 5 (39, 5, 20, 22) 27.265714934750438 gpu 1
Q round23-s17 6 (38, 5, 4, 17) 28.710177542800885 gpu 0
Q round23-s17 7 (39, 5, 44, 22) 29.562868359841527 gpu 1
Q round23-s17 8 (65, 5, 4, 30) 26.664559397030857 gpu 0
Q round23-s17 9 (9, 5, 4, 70) 27.324217185458856 gpu 1
Q round23-s17 10 (65, 21, 4, 46) 25.100758124301596 gpu 0
Q round23-s17 11 (65, 45, 4, 46) 24.73094580788485 gpu 1
Q round23-s17 12 (25, 5, 4, 54) 26.007421893432902 gpu 0
Q round23-s17 13 (63, 5, 20, 22) 29.046238691747597 gpu 1
Q round23-s17 14 (35, 23, 19, 48) 44.64997755408439 gpu 0
Q round23-s17 15 (59, 9, 41, 33) 50.59871175600395 gpu 1
ROUND 23 n 464 bestJ 20.99546408313032 best (39, 5, 4, 70) eligible 60 update 0 updates_total 2
Q round24-s17 0 (62, 69, 4, 70) 29.43319579819122 gpu 0
Q round24-s17 1 (63, 5, 4, 38) 23.190410742793283 gpu 1
Q round24-s17 2 (38, 53, 4, 70) 28.663184332465452 gpu 0
Q round24-s17 3 (33, 5, 4, 54) 29.756088037398424 gpu 1
Q round24-s17 4 (62, 69, 4, 46) 32.7901210375193 gpu 0
Q round24-s17 5 (62, 5, 44, 38) 25.669352340973333 gpu 1
Q round24-s17 6 (38, 21, 20, 54) 24.13111701667272 gpu 0
Q round24-s17 7 (62, 13, 4, 62) 28.99971190336831 gpu 1
Q round24-s17 8 (62, 13, 4, 38) 26.024327955496666 gpu 0
Q round24-s17 9 (38, 45, 20, 54) 26.586411456436338 gpu 1
Q round24-s17 10 (38, 69, 4, 6) 32.33231121377159 gpu 0
Q round24-s17 11 (62, 53, 4, 54) 31.16885848607266 gpu 1
Q round24-s17 12 (38, 29, 4, 22) 31.652328661874222 gpu 0
Q round24-s17 13 (57, 21, 4, 14) 28.488829074926773 gpu 1
Q round24-s17 14 (68, 31, 12, 18) 219.72487949096785 gpu 0
Q round24-s17 15 (57, 60, 31, 60) 44.77387925841467 gpu 1
TRIGGER_UPDATE 24 480 ['eligible_collapse'] {"new_labels_since_update": 256, "evals_since_best": 51, "recent_n": 128, "recent_spearman": 0.5912264237319172, "recent_high_uncertainty_fraction": 0.0, "sigma_ref_p90": 0.15206494033336643, "eligible_pool": 0, "eligible_floor": 120}
ROUND 24 n 480 bestJ 20.99546408313032 best (39, 5, 4, 70) eligible 0 update 1 updates_total 3
Q round25-s17 0 (24, 5, 52, 38) 21.406136889208405 gpu 0
Q round25-s17 1 (24, 5, 52, 62) 23.279249834691008 gpu 1
Q round25-s17 2 (24, 5, 68, 38) 19.76726817515733 gpu 0
Q round25-s17 3 (24, 5, 68, 62) 19.962172977720115 gpu 1
Q round25-s17 4 (64, 5, 52, 38) 21.138847887880864 gpu 0
Q round25-s17 5 (48, 5, 52, 38) 25.331119098331193 gpu 1
Q round25-s17 6 (64, 5, 52, 62) 20.83709634560813 gpu 0
Q round25-s17 7 (24, 21, 52, 38) 20.501004503016187 gpu 1
Q round25-s17 8 (48, 5, 52, 62) 25.532406438184125 gpu 0
Q round25-s17 9 (24, 5, 12, 38) 20.91156405890052 gpu 1
Q round25-s17 10 (64, 5, 68, 38) 23.07771819103732 gpu 0
Q round25-s17 11 (24, 5, 12, 62) 19.96558410130847 gpu 1
Q round25-s17 12 (39, 5, 52, 38) 20.99186639420763 gpu 0
Q round25-s17 13 (48, 5, 68, 38) 23.752416964323185 gpu 1
Q round25-s17 14 (65, 31, 32, 50) 647.4090047899022 gpu 0
Q round25-s17 15 (0, 30, 32, 33) 111.94721005621007 gpu 1
ROUND 25 n 496 bestJ 19.76726817515733 best (24, 5, 68, 38) eligible 3421 update 0 updates_total 3
Q round26-s17 0 (24, 45, 52, 38) 24.352324667677085 gpu 0
Q round26-s17 1 (24, 21, 52, 62) 22.691228295015204 gpu 1
Q round26-s17 2 (24, 45, 52, 62) 25.74415463631837 gpu 0
Q round26-s17 3 (24, 21, 68, 38) 19.74990279711322 gpu 1
Q round26-s17 4 (24, 45, 68, 38) 24.16535726293685 gpu 0
Q round26-s17 5 (64, 5, 68, 62) 20.926254492917806 gpu 1
Q round26-s17 6 (24, 21, 68, 62) 19.38940532079745 gpu 0
Q round26-s17 7 (24, 5, 28, 38) 19.99910974145317 gpu 1
Q round26-s17 8 (63, 5, 52, 38) 21.600943508067143 gpu 0
Q round26-s17 9 (24, 45, 68, 62) 24.213661745796614 gpu 1
Q round26-s17 10 (64, 21, 52, 38) 20.907673274339867 gpu 0
Q round26-s17 11 (8, 5, 52, 38) 21.414497166601794 gpu 1
Q round26-s17 12 (48, 5, 68, 62) 25.233435498230467 gpu 0
Q round26-s17 13 (24, 5, 28, 62) 19.923432142644415 gpu 1
Q round26-s17 14 (3, 70, 71, 9) 53.167863744447935 gpu 0
Q round26-s17 15 (63, 41, 29, 67) 68.85080758609487 gpu 1
ROUND 26 n 512 bestJ 19.38940532079745 best (24, 21, 68, 62) eligible 2152 update 0 updates_total 3
Q round27-s17 0 (64, 45, 52, 38) 17.979264388771494 gpu 0
Q round27-s17 1 (56, 5, 52, 38) 30.615964294066508 gpu 1
Q round27-s17 2 (8, 5, 52, 62) 22.872915235668383 gpu 0
Q round27-s17 3 (64, 5, 12, 38) 22.270908156028508 gpu 1
Q round27-s17 4 (48, 21, 52, 38) 23.778467516239594 gpu 0
Q round27-s17 5 (64, 21, 52, 62) 21.58466746041232 gpu 1
Q round27-s17 6 (56, 21, 52, 38) 31.576274760865687 gpu 0
Q round27-s17 7 (8, 5, 68, 38) 20.82166281296147 gpu 1
Q round27-s17 8 (56, 45, 52, 38) 29.656981733136046 gpu 0
Q round27-s17 9 (39, 21, 52, 38) 20.82359350913807 gpu 1
Q round27-s17 10 (48, 45, 52, 38) 27.34121226308503 gpu 0
Q round27-s17 11 (24, 5, 52, 70) 28.715584368282858 gpu 1
Q round27-s17 12 (64, 45, 52, 62) 19.146324833239955 gpu 0
Q round27-s17 13 (48, 5, 12, 38) 20.731892145022798 gpu 1
Q round27-s17 14 (13, 24, 67, 4) 205.68981252610075 gpu 0
Q round27-s17 15 (29, 67, 24, 34) 429.54500751578666 gpu 1
ROUND 27 n 528 bestJ 17.979264388771494 best (64, 45, 52, 38) eligible 2817 update 0 updates_total 3
Q round28-s17 0 (39, 5, 52, 62) 21.244057209061 gpu 0
Q round28-s17 1 (63, 5, 52, 62) 23.286665935332913 gpu 1
Q round28-s17 2 (71, 5, 52, 38) 42.39599941180156 gpu 0
Q round28-s17 3 (24, 5, 44, 38) 22.56109210802878 gpu 1
Q round28-s17 4 (39, 5, 68, 38) 22.71319602772258 gpu 0
Q round28-s17 5 (31, 5, 52, 38) 43.55715889176043 gpu 1
Q round28-s17 6 (64, 5, 12, 62) 22.83346084618536 gpu 0
Q round28-s17 7 (24, 5, 20, 38) 24.243508600469315 gpu 1
Q round28-s17 8 (63, 5, 68, 38) 21.410188001340323 gpu 0
Q round28-s17 9 (71, 5, 52, 62) 42.93028012408797 gpu 1
Q round28-s17 10 (24, 5, 44, 62) 21.763110764708827 gpu 0
Q round28-s17 11 (55, 5, 52, 38) 45.01632843969169 gpu 1
Q round28-s17 12 (24, 5, 20, 62) 23.458045031265762 gpu 0
Q round28-s17 13 (31, 5, 52, 62) 43.831411587587645 gpu 1
Q round28-s17 14 (60, 43, 12, 8) 176.2362810240298 gpu 0
Q round28-s17 15 (37, 28, 43, 40) 225.69945291382447 gpu 1
ROUND 28 n 544 bestJ 17.979264388771494 best (64, 45, 52, 38) eligible 15 update 0 updates_total 3
Q round29-s17 0 (56, 5, 52, 62) 30.388681725147695 gpu 0
Q round29-s17 1 (64, 21, 68, 38) 22.631208582044554 gpu 1
Q round29-s17 2 (48, 21, 52, 62) 25.442469667053366 gpu 0
Q round29-s17 3 (39, 45, 52, 38) 23.21871322865509 gpu 1
Q round29-s17 4 (24, 21, 12, 38) 21.275881319690086 gpu 0
Q round29-s17 5 (56, 21, 52, 62) 29.996683539805872 gpu 1
Q round29-s17 6 (8, 5, 68, 62) 20.553289945729148 gpu 0
Q round29-s17 7 (63, 21, 52, 38) 20.258495851204408 gpu 1
Q round29-s17 8 (56, 45, 52, 62) 27.3801070272698 gpu 0
Q round29-s17 9 (64, 45, 68, 38) 21.024373270261915 gpu 1
Q round29-s17 10 (48, 45, 52, 62) 28.64779255032179 gpu 0
Q round29-s17 11 (32, 5, 52, 38) 34.51865434251969 gpu 1
Q round29-s17 12 (24, 45, 12, 38) 19.830142503961575 gpu 0
Q round29-s17 13 (24, 21, 12, 62) 21.09971749855203 gpu 1
Q round29-s17 14 (56, 38, 25, 36) 64.74212083835103 gpu 0
Q round29-s17 15 (61, 21, 19, 22) 70.00052235973415 gpu 1
ROUND 29 n 560 bestJ 17.979264388771494 best (64, 45, 52, 38) eligible 0 update 0 updates_total 3
Q round30-s17 0 (39, 5, 52, 25) 23.310496341112263 gpu 0
Q round30-s17 1 (24, 5, 52, 54) 29.536655822517304 gpu 1
Q round30-s17 2 (63, 45, 52, 38) 24.75286180137261 gpu 0
Q round30-s17 3 (48, 21, 68, 38) 24.37995212331442 gpu 1
Q round30-s17 4 (48, 5, 12, 62) 21.55649248898871 gpu 0
Q round30-s17 5 (32, 21, 52, 38) 34.16006674826713 gpu 1
Q round30-s17 6 (64, 21, 68, 62) 21.87324706441387 gpu 0
Q round30-s17 7 (39, 21, 52, 62) 21.380935927814782 gpu 1
Q round30-s17 8 (24, 45, 12, 62) 22.85416124457234 gpu 0
Q round30-s17 9 (64, 5, 52, 70) 26.936280892601054 gpu 1
Q round30-s17 10 (24, 21, 28, 38) 20.355355713778504 gpu 0
Q round30-s17 11 (32, 45, 52, 38) 31.873205635896827 gpu 1
Q round30-s17 12 (63, 5, 52, 25) 22.724185135402646 gpu 0
Q round30-s17 13 (64, 5, 28, 38) 22.866128898985068 gpu 1
Q round30-s17 14 (17, 71, 62, 69) 169.51941049478953 gpu 0
Q round30-s17 15 (17, 50, 19, 49) 86.52088034362377 gpu 1
ROUND 30 n 576 bestJ 17.979264388771494 best (64, 45, 52, 38) eligible 0 update 0 updates_total 3
Q round31-s17 0 (24, 5, 36, 38) 28.022045758890304 gpu 0
Q round31-s17 1 (48, 45, 68, 38) 26.03131522891922 gpu 1
Q round31-s17 2 (39, 5, 68, 62) 21.889714625729006 gpu 0
Q round31-s17 3 (64, 45, 68, 62) 19.259181385023386 gpu 1
Q round31-s17 4 (39, 45, 52, 62) 23.875841849602345 gpu 0
Q round31-s17 5 (24, 5, 68, 70) 27.960265725806902 gpu 1
Q round31-s17 6 (24, 21, 44, 38) 24.30523213577511 gpu 0
Q round31-s17 7 (24, 45, 28, 38) 24.912782249843755 gpu 1
Q round31-s17 8 (32, 5, 52, 62) 33.139911898365185 gpu 0
Q round31-s17 9 (24, 5, 36, 62) 28.49790813273344 gpu 1
Q round31-s17 10 (56, 5, 68, 38) 32.927665421818666 gpu 0
Q round31-s17 11 (71, 5, 68, 38) 41.90100420079098 gpu 1
Q round31-s17 12 (63, 21, 52, 62) 22.197626135760828 gpu 0
Q round31-s17 13 (24, 5, 52, 14) 30.74789723426195 gpu 1
Q round31-s17 14 (66, 38, 19, 44) 108.23776252772048 gpu 0
Q round31-s17 15 (50, 11, 23, 43) 146.48574655004373 gpu 1
ROUND 31 n 592 bestJ 17.979264388771494 best (64, 45, 52, 38) eligible 0 update 0 updates_total 3
Q round32-s17 0 (39, 5, 52, 65) 23.493109033962675 gpu 0
Q round32-s17 1 (32, 21, 52, 62) 33.54879029918247 gpu 1
Q round32-s17 2 (56, 21, 68, 38) 32.49094570668212 gpu 0
Q round32-s17 3 (48, 21, 68, 62) 25.06358816031036 gpu 1
Q round32-s17 4 (24, 21, 28, 62) 20.198098148102424 gpu 0
Q round32-s17 5 (39, 5, 12, 38) 22.94776107669793 gpu 1
Q round32-s17 6 (24, 45, 44, 38) 21.141278083746965 gpu 0
Q round32-s17 7 (24, 21, 20, 38) 23.952427265578798 gpu 1
Q round32-s17 8 (48, 5, 52, 70) 30.665541152693752 gpu 0
Q round32-s17 9 (63, 5, 68, 62) 21.102893382418262 gpu 1
Q round32-s17 10 (48, 5, 28, 38) 23.26631208484775 gpu 0
Q round32-s17 11 (32, 45, 52, 62) 31.070897676475415 gpu 1
Q round32-s17 12 (64, 5, 36, 38) 24.801452320456974 gpu 0
Q round32-s17 13 (56, 45, 68, 38) 30.334716971458448 gpu 1
Q round32-s17 14 (33, 27, 49, 8) 52.61285115981011 gpu 0
Q round32-s17 15 (51, 69, 1, 12) 327.9649835131196 gpu 1
ROUND 32 n 608 bestJ 17.979264388771494 best (64, 45, 52, 38) eligible 0 update 0 updates_total 3
Q round33-s17 0 (39, 21, 68, 38) 22.344480557762314 gpu 0
Q round33-s17 1 (55, 5, 52, 62) 45.8764011131994 gpu 1
Q round33-s17 2 (39, 5, 52, 49) 22.474088714685198 gpu 0
Q round33-s17 3 (63, 45, 52, 62) 26.08048585391461 gpu 1
Q round33-s17 4 (31, 5, 68, 38) 43.19962661303295 gpu 0
Q round33-s17 5 (48, 45, 68, 62) 28.44934865928737 gpu 1
Q round33-s17 6 (24, 45, 28, 62) 24.184624522016776 gpu 0
Q round33-s17 7 (63, 5, 52, 65) 22.83753263373156 gpu 1
Q round33-s17 8 (39, 5, 36, 38) 27.369965823429055 gpu 0
Q round33-s17 9 (39, 5, 60, 38) 26.402579159596584 gpu 1
Q round33-s17 10 (24, 45, 20, 38) 22.200274394665346 gpu 0
Q round33-s17 11 (24, 5, 60, 38) 28.277693155455527 gpu 1
Q round33-s17 12 (64, 5, 28, 62) 21.61113573950921 gpu 0
Q round33-s17 13 (24, 21, 44, 62) 21.981150392661302 gpu 1
Q round33-s17 14 (61, 28, 6, 42) 86.77249407147666 gpu 0
Q round33-s17 15 (32, 2, 45, 69) 208.78002641132088 gpu 1
ROUND 33 n 624 bestJ 17.979264388771494 best (64, 45, 52, 38) eligible 0 update 0 updates_total 3
Q round34-s17 0 (63, 5, 12, 38) 22.826702002740298 gpu 0
Q round34-s17 1 (64, 21, 12, 38) 23.26245889226403 gpu 1
Q round34-s17 2 (24, 5, 60, 62) 27.56818455637027 gpu 0
Q round34-s17 3 (39, 5, 52, 70) 28.681070218923082 gpu 1
Q round34-s17 4 (39, 45, 68, 38) 20.070026442315708 gpu 0
Q round34-s17 5 (39, 5, 68, 25) 24.43791672425751 gpu 1
Q round34-s17 6 (24, 5, 68, 54) 29.27172144025474 gpu 0
Q round34-s17 7 (64, 5, 60, 38) 24.730374510103452 gpu 1
Q round34-s17 8 (56, 5, 68, 62) 31.78200978486571 gpu 0
Q round34-s17 9 (63, 5, 52, 49) 22.70748904169706 gpu 1
Q round34-s17 10 (64, 5, 36, 62) 26.271253519984423 gpu 0
Q round34-s17 11 (56, 21, 68, 62) 31.089942504911196 gpu 1
Q round34-s17 12 (63, 21, 68, 38) 21.70060904576181 gpu 0
Q round34-s17 13 (8, 21, 52, 38) 21.2334024468677 gpu 1
Q round34-s17 14 (42, 17, 14, 27) 245.61710984775638 gpu 0
Q round34-s17 15 (20, 30, 67, 44) 318.658948574863 gpu 1
ROUND 34 n 640 bestJ 17.979264388771494 best (64, 45, 52, 38) eligible 0 update 0 updates_total 3
Q round35-s17 0 (64, 5, 52, 65) 24.72353587355228 gpu 0
Q round35-s17 1 (24, 45, 44, 62) 18.605614501106558 gpu 1
Q round35-s17 2 (24, 21, 20, 62) 22.916832715875785 gpu 0
Q round35-s17 3 (8, 5, 12, 38) 21.803999549828795 gpu 1
Q round35-s17 4 (71, 5, 68, 62) 41.84449993261157 gpu 0
Q round35-s17 5 (64, 5, 52, 54) 27.90620550203821 gpu 1
Q round35-s17 6 (63, 5, 60, 38) 27.77187164010017 gpu 0
Q round35-s17 7 (64, 5, 52, 49) 22.3245000338788 gpu 1
Q round35-s17 8 (63, 5, 36, 38) 28.527512146070038 gpu 0
Q round35-s17 9 (48, 5, 36, 38) 30.43978108330792 gpu 1
Q round35-s17 10 (56, 45, 68, 62) 29.72473265919632 gpu 0
Q round35-s17 11 (64, 45, 12, 38) 21.97586904761355 gpu 1
Q round35-s17 12 (63, 5, 68, 25) 23.691718311706722 gpu 0
Q round35-s17 13 (71, 21, 52, 38) 42.188125772282675 gpu 1
Q round35-s17 14 (53, 32, 71, 13) 48.31959487450111 gpu 0
Q round35-s17 15 (20, 67, 12, 26) 99.83409421362796 gpu 1
ROUND 35 n 656 bestJ 17.979264388771494 best (64, 45, 52, 38) eligible 0 update 0 updates_total 3
Q round36-s17 0 (55, 5, 68, 38) 44.57730862783348 gpu 0
Q round36-s17 1 (24, 5, 52, 30) 29.040976429590756 gpu 1
Q round36-s17 2 (63, 5, 52, 70) 29.457319641349446 gpu 0
Q round36-s17 3 (48, 5, 28, 62) 25.303427220872237 gpu 1
Q round36-s17 4 (64, 5, 60, 62) 24.851467797261737 gpu 0
Q round36-s17 5 (39, 5, 12, 62) 21.703132016913333 gpu 1
Q round36-s17 6 (32, 5, 68, 38) 35.83253957086271 gpu 0
Q round36-s17 7 (15, 5, 52, 38) 41.03148904355992 gpu 1
Q round36-s17 8 (24, 45, 20, 62) 20.589128234340635 gpu 0
Q round36-s17 9 (8, 45, 52, 38) 23.71864662895032 gpu 1
Q round36-s17 10 (63, 45, 68, 38) 24.481835397994836 gpu 0
Q round36-s17 11 (8, 21, 52, 62) 22.208741519318792 gpu 1
